Date,Number1,Number2,Number3,Number4,Number5,Bonus,Multiplier
2024-06-15,4,36,48,54,56,2,3
2024-06-17,30,48,53,58,66,9,2
2024-06-19,4,27,44,50,64,7,3
2024-06-22,4,5,15,32,62,21,2
2024-06-24,5,6,36,53,69,8,2
2024-06-26,4,9,36,47,56,7,5
2024-06-29,26,51,54,61,69,25,3
2024-07-01,5,9,32,39,55,9,2
2024-07-03,2,26,33,55,57,22,2
2024-07-06,5,32,35,39,49,21,2
2024-07-08,20,22,31,33,45,1,3
2024-07-10,7,11,12,27,46,26,3
2024-07-13,9,55,59,66,69,21,2
2024-07-15,9,31,39,40,45,23,3
2024-07-17,24,27,32,47,66,26,2
2024-07-20,18,25,31,40,57,4,3
2024-07-22,31,36,56,58,69,20,2
2024-07-24,16,42,59,63,68,13,2
2024-07-27,3,31,37,40,64,17,3
2024-07-29,11,27,30,33,44,16,3
2024-07-31,23,34,37,50,58,7,2
2024-08-03,13,33,40,60,61,20,3
2024-08-05,29,42,44,51,54,12,2
2024-08-07,6,19,35,47,57,9,3
2024-08-10,9,24,33,64,69,9,2
2024-08-12,9,22,57,67,68,14,3
2024-08-14,8,9,23,29,62,13,2
2024-08-17,12,31,43,45,46,22,5
2024-08-19,1,2,15,23,28,10,2
2024-08-21,27,31,33,38,67,3,2
2024-08-24,5,15,21,24,43,17,3
2024-08-26,2,4,23,68,69,15,3
2024-08-28,5,33,47,50,64,20,2
2024-08-31,4,34,35,38,69,19,2
2024-09-02,8,42,46,48,53,22,3
2024-09-04,7,10,21,33,59,20,3
2024-09-07,14,34,37,55,63,20,2
2024-09-09,1,16,21,47,60,5,3
2024-09-11,10,12,55,65,67,3,3
2024-09-14,29,34,38,48,56,16,2
2024-09-16,8,9,11,27,31,17,5
2024-09-18,1,11,22,47,68,7,4
2024-09-21,17,19,21,37,45,14,2
2024-09-23,15,21,25,37,45,19,3
2024-09-25,2,26,45,46,52,21,2
2024-09-28,3,11,13,24,39,22,3
2024-09-30,9,11,30,43,69,20,2
2024-10-02,1,2,21,37,43,21,3
2024-10-05,2,12,46,52,65,3,2
2024-10-07,18,30,31,52,63,22,2
2024-10-09,25,32,43,53,66,10,3
2024-10-12,5,14,20,41,57,6,3
2024-10-14,14,18,33,64,67,14,2
2024-10-16,4,30,39,44,60,11,2
2024-10-19,7,16,19,45,64,25,3
2024-10-21,1,25,57,62,64,15,2
2024-10-23,2,15,27,29,39,20,2
2024-10-26,8,12,40,45,51,15,2
2024-10-28,21,27,32,48,67,17,2
2024-10-30,13,22,29,43,58,22,3
2024-11-02,10,45,48,58,61,2,3
2024-11-04,6,18,33,48,53,21,10
2024-11-06,12,17,37,58,62,4,2
2024-11-09,11,24,50,56,66,16,2
2024-11-11,3,21,24,34,46,9,3
2024-11-13,9,20,26,43,58,9,2
2024-11-16,21,22,25,32,38,16,5
2024-11-18,27,31,41,52,69,26,3
2024-11-20,16,30,60,62,64,25,3
2024-11-23,12,13,34,44,67,8,3
2024-11-25,5,35,45,60,63,12,2
2024-11-27,1,6,7,13,40,5,5
2024-11-30,4,24,29,39,63,25,4
2024-12-02,3,9,26,61,67,13,2
2024-12-04,1,23,25,28,61,13,2
2024-12-07,1,31,43,55,57,22,2
2024-12-09,35,37,40,45,51,24,2
2024-12-11,13,44,50,52,54,20,2
